"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","filepaths"
"Paris technoparade","Paris","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2007-E-PARISTECHNOPARADE","sites/default/files/media/images/2007-e-paristechnoparade-1.jpg,sites/default/files/media/images/2007-e-paristechnoparade-2.jpg,sites/default/files/media/images/2007-e-paristechnoparade-3.jpg"
"Paysage - Vidéo","Musée d'art de Toulon","groupe","2009-11-14T00:00:00","2010-02-21T00:00:00","Ville de Toulon","2010-E-TOULON","sites/default/files/media/images/2004-vd-voyagesdvd2.jpg,sites/default/files/media/images/carton_toulon2.jpg"
"Paysages aleatoires","Galerie Eof, Paris (FRA)","groupe","2001-01-01T00:00:00","2001-01-01T00:00:00",NULL,"2001-E-PARISEOF",NULL
"Peintures et sérigraphies","Galerie de l'ENSBA, Grand Masse, Paris","perso","1985-01-01T00:00:00","1985-01-01T00:00:00",NULL,"1985-E-PARISENSBA",NULL
"Pensées numériques","Château de Lapalisse, Lapalisse (FRA)","perso","2001-01-01T00:00:00","2001-01-01T00:00:00",NULL,"2001-E-LAPALISSE",NULL
"Performances","Jeux olympiques d'été, Barcelone (ESP)","perso","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-BARCELONEJO",NULL
"Performances","Jeux olympiques d'hiver, Albertville (FRA)","perso","1992-02-08T00:00:00","1992-02-23T00:00:00",NULL,"1992-E-ALBERTVILLE",NULL
"Périphérie","Espace Pierre Cardin, 3 avenue Gabriel, 75008 Paris (FRA)","perso","1998-10-08T00:00:00","1998-10-17T00:00:00","Dominique Boitel, directeur de l'Espace Pierre Cardin","1998-E-PARISEPCARDIN",NULL
"Périphérie","MAMCO, Genève (CHE)","perso","2000-01-01T00:00:00","2000-01-01T00:00:00",NULL,"2000-E-GENEVE",NULL
"Phase zéro/","Galerie Serge Aboukrat, 7, place Furstemberg, 75006 Paris","groupe","2009-10-22T00:00:00","2010-01-31T00:00:00","Serge Aboukrat","2009-E-PARISCNES",NULL
"Picasso to Koons: Artist as Jeweler ","Bass Museum of art, Miami ","groupe","2013-03-15T00:00:00","2013-07-21T00:00:00",NULL,"2013-E-MIAMIBASSM",NULL
"Picasso to Koons: Artist as Jeweler","Benaki Museum, Athènes (GRE)","groupe","2012-10-14T00:00:00","2012-10-14T00:00:00",NULL,"2012-E-ATHENES",NULL
"Pistils & Pixels, 2018","Mémo Médiathèque Montauban, 2 rue Jean Carnet, 82000 Montauban, (F)","perso","2018-05-18T00:00:00","2018-12-08T00:00:00","Mémo Médiathèque Montauban","2018-E-MONTAUBAN",NULL
"Pixels Liquides - Festival des Bains Numériques #3","Centre des arts d'Enghien-les-Bains (FRA)","groupe","2008-01-01T00:00:00","2008-01-01T00:00:00",NULL,"2008-E-ENGHIENPL","sites/default/files/media/images/2008-e-enghienpl-3.jpg,sites/default/files/media/images/2008-e-enghienpl-4.jpg,sites/default/files/media/images/2008-e-enghienpl-1.jpg,sites/default/files/media/images/2008-e-enghienpl-2.jpg"
"Pixels Liquides 2008","Loft 19, 3/5 Villa de Lods, 75019 Paris, Passage de l'Atlas, (FRA)","perso","2008-12-16T00:00:00","2008-12-20T00:00:00","Suzanne Tarasiève","2008-E-PARISLOFT19","sites/default/files/media/images/2008-e-parisloft19-5.jpg,sites/default/files/media/images/2008-e-parisloft19-6.jpg,sites/default/files/media/images/2008-e-parisloft19-7.jpg,sites/default/files/media/images/2008-e-parisloft19-8.jpg,sites/default/files/media/images/2008-e-parisloft19-9.jpg,sites/default/files/media/images/2008-e-parisloft19-10.jpg,sites/default/files/media/images/2008-e-parisloft19-11.jpg,sites/default/files/media/images/2008-e-parisloft19-12.jpg,sites/default/files/media/images/2008-e-parisloft19-4.jpg,sites/default/files/media/images/2008-e-parisloft19-3.jpg,sites/default/files/media/images/2008-e-parisloft19-2.jpg,sites/default/files/media/images/2008-e-parisloft19-1.jpg"
"Pixels Noir Lumière 2019","Musée Soulages, Rodez, France","perso","2019-04-19T00:00:00","2019-05-26T00:00:00","Christophe Hazemann","2019-E-RODEZSOULAGES",NULL
"Pixels Power 2013","Galerie MiniMasterpiece, 16 rue des Saints Pères, 75007 Paris (FRA)","perso","2013-09-19T00:00:00","2013-10-23T00:00:00","Galerie mniMASTERPIECE","2013-E-PARISMINI2",NULL
